Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
A A Barnes,https://openalex.org/A2639326053,Unknown,,,,,,https://openalex.org/A4334493318|https://openalex.org/A4341366154|https://openalex.org/A2153184333|https://openalex.org/A2603078087|https://openalex.org/A2579548827|https://openalex.org/A2648239866|https://openalex.org/A2423675094|https://openalex.org/A2466934636|https://openalex.org/A2700418087|https://openalex.org/A2292620794|https://openalex.org/A4359975763|https://openalex.org/A2764344154|https://openalex.org/A2242910632|https://openalex.org/A2313711993|https://openalex.org/A2627884716|https://openalex.org/A2629438255,aqueducts && water,16,Irrigation|Environmental engineering|Geography|Computer science|Biology|Geomorphology|Inlet|Archaeology|Geology|Electrical engineering|Hydrology (agriculture)|Materials science|Water diversion|Data mining|Water resource management|Cement|Venturi effect|Relation (database)|Voltage|Cementation (geology)|Water supply|Engineering|Mains electricity|Drainage|Cast iron|Ecology|Geotechnical engineering|Metallurgy|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2639326053"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,2,1930|1923|1919,3,un,50b505f063ea22b907b97a0b3424ef488157e57cd4ccad59884b4cc0293746de
A A Fulton,https://openalex.org/A1976700306,University of Melbourne,Melbourne,Victoria,Australia,-37.797115,144.95998,,aqueducts && water,0,Philosophy|Structural basin|Economic shortage|Geology|Hydroelectricity|Engineering|Electrical engineering|Water resource management|Fishery|Hydropower|Biology|Civil engineering|Government (linguistics)|Geomorphology|Linguistics|Environmental science|Fish <Actinopterygii>,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A1976700306"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,4,1952,1,AU,
A F Bruce,https://openalex.org/A2637289179,Unknown,,,,,,,aqueducts && water,0,Environmental engineering|Business|Water supply|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2637289179"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,1890,1,un,
A J Humby,https://openalex.org/A2286251490,Unknown,,,,,,,aqueducts && water,0,Irrigation|Paleontology|Geography|Volume (thermodynamics)|Physics|Biology|Ecology|Quantum mechanics|Appendix,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2286251490"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,1904,1,un,
A P I Cotterell,https://openalex.org/A2543560476,Unknown,,,,,,https://openalex.org/A2116949538|https://openalex.org/A2113750402|https://openalex.org/A2660771203|https://openalex.org/A2764344154|https://openalex.org/A4353365616|https://openalex.org/A4346778779|https://openalex.org/A2977946205|https://openalex.org/A2242910632|https://openalex.org/A4349843714|https://openalex.org/A4355472586,aqueducts && water,10,Mechanical engineering|Environmental engineering|Water supply|Engineering|Environmental science|Completion (oil and gas wells),"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2543560476"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,1927,1,un,feddaf64f6569d70eb620eb935b0d73d9cfe66efc922981cdf9c174644627d60
A T Mackenzie,https://openalex.org/A2477599517,Unknown,,,,,,https://openalex.org/A2481862440|https://openalex.org/A2463249341|https://openalex.org/A2191591094|https://openalex.org/A2683989476|https://openalex.org/A2201961590|https://openalex.org/A2679057683|https://openalex.org/A2637958618|https://openalex.org/A4354688588|https://openalex.org/A4355470793|https://openalex.org/A4355207500|https://openalex.org/A4355553992|https://openalex.org/A4357526082|https://openalex.org/A2500628344|https://openalex.org/A2489062644|https://openalex.org/A4356871762|https://openalex.org/A2503551327|https://openalex.org/A2481630384|https://openalex.org/A2484186563|https://openalex.org/A4352552783|https://openalex.org/A2553927819|https://openalex.org/A2643579318|https://openalex.org/A2144833006|https://openalex.org/A4355189216|https://openalex.org/A2612533932|https://openalex.org/A2061722327|https://openalex.org/A2667860508|https://openalex.org/A2652419720,aqueducts && water,27,Oceanography|Geology|Water pressure|Engineering|Arch|Mortar|Hydrology (agriculture)|Masonry|Geotechnical engineering|Civil engineering|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2477599517"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,1894,1,un,0a2634f7b9e1517e92e0caeeb69859603f058948cc5930d0ab3ed90f3726d729
A Von Braunmuhl,https://openalex.org/A2683989476,Unknown,,,,,,https://openalex.org/A2481862440|https://openalex.org/A2477599517|https://openalex.org/A2463249341|https://openalex.org/A2191591094|https://openalex.org/A2201961590|https://openalex.org/A2679057683|https://openalex.org/A2637958618|https://openalex.org/A4354688588|https://openalex.org/A4355470793|https://openalex.org/A4355207500|https://openalex.org/A4355553992|https://openalex.org/A4357526082|https://openalex.org/A2500628344|https://openalex.org/A2489062644|https://openalex.org/A4356871762|https://openalex.org/A2503551327|https://openalex.org/A2481630384|https://openalex.org/A2484186563|https://openalex.org/A4352552783|https://openalex.org/A2553927819|https://openalex.org/A2643579318|https://openalex.org/A2144833006|https://openalex.org/A4355189216|https://openalex.org/A2612533932|https://openalex.org/A2061722327|https://openalex.org/A2667860508|https://openalex.org/A2652419720,aqueducts && water,27,Oceanography|Geology|Water pressure|Engineering|Arch|Mortar|Hydrology (agriculture)|Masonry|Geotechnical engineering|Civil engineering|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2683989476"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,1894,1,un,72f17d57a2a7e4014ce2adde78fadf3dcc4d9000a4fc0124b8ae4bcd0b4efb66
A W Brightmore,https://openalex.org/A2183653964,Unknown,,,,,,https://openalex.org/A2646331407|https://openalex.org/A2152302202|https://openalex.org/A4351435204|https://openalex.org/A2628355558|https://openalex.org/A4353325735|https://openalex.org/A2462974748|https://openalex.org/A2159656500,aqueducts && water,7,Geology|Aqueduct|Engineering|Geography|Archaeology,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2183653964"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,1921|1900,2,un,07a6be52f08121692ce8122aeffe539c17677aef2fe7d1fc0734c20e31facef8
A. Ammari,https://openalex.org/A2149401666,Techniques of Informatics and Microelectronics for Integrated Systems Architecture,Grenoble,,France,45.19074,5.717382,https://openalex.org/A4332961710,aqueducts && water,1,Demography|Sociology|Environmental engineering|Water supply|Engineering|Geography|Water resource management|Civil engineering|Environmental science|Population|Archaeology|Roman Empire|Environmental planning,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2149401666"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",1,10,2019,1,FR,b9837f085270322f74989039507c8fe850e22b197bd5073a4997f5fd813dc122
A. B. Hill,https://openalex.org/A4357526082,University of Southampton,Southampton,,United Kingdom,50.93463,-1.39595,https://openalex.org/A2481862440|https://openalex.org/A2477599517|https://openalex.org/A2463249341|https://openalex.org/A2191591094|https://openalex.org/A2683989476|https://openalex.org/A2201961590|https://openalex.org/A2679057683|https://openalex.org/A2637958618|https://openalex.org/A4354688588|https://openalex.org/A4355470793|https://openalex.org/A4355207500|https://openalex.org/A4355553992|https://openalex.org/A2500628344|https://openalex.org/A2489062644|https://openalex.org/A4356871762|https://openalex.org/A2503551327|https://openalex.org/A2481630384|https://openalex.org/A2484186563|https://openalex.org/A4352552783|https://openalex.org/A2553927819|https://openalex.org/A2643579318|https://openalex.org/A2144833006|https://openalex.org/A4355189216|https://openalex.org/A2612533932|https://openalex.org/A2061722327|https://openalex.org/A2667860508|https://openalex.org/A2652419720,aqueducts && water,27,Oceanography|Geology|Water pressure|Engineering|Arch|Mortar|Hydrology (agriculture)|Masonry|Geotechnical engineering|Civil engineering|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4357526082"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",1.0217391304347827,63,1894,1,GB,82964cd94afc6e26816e2a1522d6f281105160b03045d582e49c715750546259
A. Calabrese,https://openalex.org/A2593124529,Politecnico di Milano,Milan,,Italy,45.478863,9.228206,https://openalex.org/A2084293955|https://openalex.org/A4345435851|https://openalex.org/A2001870820,aqueducts && water,3,Chemistry|Water source|Water pollution|Environmental engineering|Water supply|Nursing|Environmental chemistry|Geography|Safeguarding|Water resource management|Biology|Ecology|Water quality|Pollution|Environmental science|Medicine,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2593124529"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",10,25,2014,1,IT,48af95d5e786f290547feba81831db436b2f4ea6cf5c74f817e5ff0a2f43defa
A. Collura,https://openalex.org/A2065173441,Osservatorio Astronomico di Palermo,Palermo,,Italy,38.111507,13.353258,https://openalex.org/A2088702807|https://openalex.org/A4350775926|https://openalex.org/A1655352224,aqueducts && water,3,Mechanics|Turbine|Geology|Engineering|Physics|Geotechnical engineering|Aerospace engineering|Environmental science|Flow (mathematics)|Marine engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2065173441"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,3,2016,1,IT,1936d5794f562597a7382b97ce905c0763f123e47f928b41d9e92c239d01402e
A. H. Jameson,https://openalex.org/A2153184333,Unknown,,,,,,https://openalex.org/A2639326053|https://openalex.org/A2603078087|https://openalex.org/A2648239866|https://openalex.org/A2292620794|https://openalex.org/A4359975763|https://openalex.org/A2242910632|https://openalex.org/A2313711993,aqueducts && water,7,Venturi effect|Water diversion|Geology|Geography|Water resource management|Drainage|Hydrology (agriculture)|Biology|Ecology|Geotechnical engineering|Geomorphology|Environmental science|Inlet,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2153184333"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,1930,1,un,eed0952f4b46393964000d2d3d6eb442ae98269622b9874f47989d46409e46fb
A. Hachache,https://openalex.org/A2003501426,Unknown,,,,,,https://openalex.org/A2496040558|https://openalex.org/A4341486809,aqueducts && water,2,Mediterranean climate|Phoenician|Cartography|Environmental engineering|Geography|Biology|Geomorphology|Archaeology|Geology|Karst|Hydrology (agriculture)|Structural basin|Drainage basin|Water resources|Water resource management|Water supply|Geotechnical engineering|Ecology|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2003501426"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,2002,1,un,172c73a10a24a97747487be5bf5e091777072e367f51ce07a73ca6e84831bf94
A. Haghighi fard,https://openalex.org/A2523704940,Kerman University of Medical Sciences,Kerman,,Iran,30.283937,57.03211,https://openalex.org/A4341798076|https://openalex.org/A3211937678|https://openalex.org/A2521272663,aqueducts && water,3,Corrosion|Materials science|Geology|Environmental engineering|Hydrology (agriculture)|Biology|Ecology|Metallurgy|Geotechnical engineering|Water quality|Environmental science|Medicine,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2523704940"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,2014,1,IR,a4eb667590626b065c284e46662d41eb0864b048b285669899af6ce29a9400aa
A. J. Draper,https://openalex.org/A2127777157,University of Bath,Bath,Bath and North East Somerset,United Kingdom,51.3796,-2.328,https://openalex.org/A3079453995|https://openalex.org/A4353243198|https://openalex.org/A2478489995|https://openalex.org/A4343872909,aqueducts && water,4,Cartography|Natural (archaeology)|Geography|Vegetation (pathology)|Computer science|Machine learning|Biology|Archaeology|Medicine|Demography|Sociology|Geology|Outflow|Hydrology (agriculture)|Current (fluid)|Delta|San Joaquin|Watershed|Tributary|River delta|Soil science|Aerospace engineering|Population|Physical geography|Oceanography|Habitat|Engineering|Estuary|Bay|Geotechnical engineering|Ecology|Environmental science|Pathology,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2127777157"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,4,2015,2,GB,1ca03cf1ec889b6743789df08cb2842d0bb1f6e06cce1d0597fcc2cd53134caa
