Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
Adolfo Meisel-Roca,https://openalex.org/A4351931192,Banco de la República Colombia,Bogotá,,Colombia,4.602797,-74.073296,https://openalex.org/A4337278775|https://openalex.org/A2126325908|https://openalex.org/A2899030698|https://openalex.org/A216201198,aqueducts && gender,4,Standard of living|Political science|Demography|Market economy|Dynamism|Economic growth|Human Development Index|Development economics|Demographic economics|Per capita|Art|Law|Humanities|Mortality rate|Sociology|Convergence (economics)|Quantum mechanics|Geography|Per capita income|Human development (humanity)|Population|Politics|Economics|Investment (military)|Welfare economics|Physics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4351931192"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0.3333333333333333,7,2017|2018|2019,3,CO,68ebd79a0ce324de5cbced29c5d6c823d613259572f69515942a2c925dcd4c4e
Daniela Santos-Cárdenas,https://openalex.org/A2899030698,Banco de la República Colombia,Bogotá,,Colombia,4.602797,-74.073296,https://openalex.org/A4337278775|https://openalex.org/A4351931192,aqueducts && gender,2,Geography|Sociology|Demography|Convergence (economics)|Economics|Economic growth|Welfare economics|Art|Humanities,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2899030698"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,2019,1,CO,f50a5a64e4079c01c6ddc19700cf99ec07ea2dccf052e80a0f98a1b3e796c947
Granados León,https://openalex.org/A2966395453,Unknown,,,,,,https://openalex.org/A2108633796,aqueducts && gender,1,Geography|Political science|Economics|Welfare economics|Humanities|Philosophy,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2966395453"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,2018,1,un,076861c9e0e04f029a58a34133054285adb9c654da92c41197b856d836915647
Juliana Jaramillo-Echeverri,https://openalex.org/A2126325908,The RiverBank,,,,28.062538,-81.149536,https://openalex.org/A4351931192|https://openalex.org/A216201198,aqueducts && gender,2,Standard of living|Political science|Demography|Market economy|Dynamism|Economic growth|Human Development Index|Development economics|Demographic economics|Per capita|Art|Law|Humanities|Mortality rate|Sociology|Quantum mechanics|Geography|Per capita income|Human development (humanity)|Population|Politics|Economics|Investment (military)|Physics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2126325908"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,3,2017|2018,2,un,9b5f0ce775caf211b98b63845ac1e56c379f01c60dd0f0b896aa5d77a1cf5092
María Teresa Ramírez-Giraldo,https://openalex.org/A4337278775,Banco de la República Colombia,Bogotá,,Colombia,4.602797,-74.073296,https://openalex.org/A4351931192|https://openalex.org/A2899030698,aqueducts && gender,2,Geography|Sociology|Demography|Convergence (economics)|Economics|Economic growth|Welfare economics|Art|Humanities,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4337278775"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",1,6,2019,1,CO,e323cfb41ad2e642093552a3b2b42d6200c69bc9df46fb209311f8b655970c12
María Teresa Ramírez-Giraldo,https://openalex.org/A216201198,Banco de la República Colombia,Bogotá,,Colombia,4.602797,-74.073296,https://openalex.org/A4351931192|https://openalex.org/A2126325908,aqueducts && gender,2,Standard of living|Political science|Demography|Market economy|Dynamism|Economic growth|Human Development Index|Development economics|Demographic economics|Per capita|Art|Law|Humanities|Mortality rate|Sociology|Quantum mechanics|Geography|Per capita income|Human development (humanity)|Population|Politics|Economics|Investment (military)|Physics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A216201198"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,3,2017|2018,2,CO,00da469cc104fc4635cecac3a16fd9f16c3d5523fcf5931c6808b27d0dd532c4
María Viviana,https://openalex.org/A2108633796,Unknown,,,,,,https://openalex.org/A2966395453,aqueducts && gender,1,Geography|Political science|Economics|Welfare economics|Humanities|Philosophy,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2108633796"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,2018,1,un,ec0e41163ee964b5e1da7c2d28eacc49f03f6334726a708791c916c22ffc16b3
