Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
Gordon Elser,https://openalex.org/A2663141768,Unknown,,,,,,https://openalex.org/A4356352146,"aqueducts,|water",1,Oceanography|Geology|Environmental engineering|Groundwater|Water resource management|Hydrology (agriculture)|Biology|Geotechnical engineering|Salinity|Environmental science|Orange (colour)|Horticulture,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2663141768"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1980,1,un,8d3f7614f4326343d2ea9256f80320123960531e511f50ae23764e84a93946bd
Gordon Mueller,https://openalex.org/A4337310200,United States Geological Survey,Reston,Virginia,United States,38.94762,-77.36789,,"aqueducts,|water",0,Gizzard shad|Bass (fish)|Dorosoma|Fishery|Larva|Biology|Ecology|Fish migration|Environmental science|Ichthyoplankton|Fish <Actinopterygii>|Alosa,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4337310200"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,8,1996,1,US,
Graham A. Tobin,https://openalex.org/A4340487560,University of South Florida,Tampa,Florida,United States,28.054562,-82.413055,,"aqueducts,|water",0,Combinatorics|Philosophy|Nothing|Epistemology|Sieve (category theory)|Environmental science|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4340487560"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,22,2009,1,US,
Gregory B. Baecher,https://openalex.org/A4343583294,"University of Maryland, College Park",College Park,Maryland,United States,38.983047,-76.941864,,"aqueducts,|water",0,Social science|Environmental engineering|Computer science|Biology|Water contamination|Philosophy|Sociology|Computer security|Linguistics|Environmental science|Critical infrastructure|Government (linguistics)|Law|Business|Terrorism|Water supply|Political science|Contamination|Ecology|Vulnerability (computing)|Agency (philosophy)|Environmental planning,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4343583294"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",3,20,2006,1,US,
Guan Guang-hua,https://openalex.org/A2366839928,Wuhan University,Wuhan,,China,30.536316,114.36431,,"aqueducts,|water",0,Aqueduct|Stress field|Geography|Scale (ratio)|Structural engineering|Mathematical analysis|Physics|Archaeology|Thermal|Boundary (topology)|Philosophy|Geology|Base (topology)|Linguistics|Finite element method|Field (mathematics)|Stress (linguistics)|Pure mathematics|Mechanics|Engineering|Boundary value problem|Meteorology|Geotechnical engineering|Quantum mechanics|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2366839928"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,2008,1,CN,
Guilhem Fabre,https://openalex.org/A4359752832,Université Paul-Valéry Montpellier,,,,43.633,3.87,https://openalex.org/A2139979213|https://openalex.org/A2630047295|https://openalex.org/A2499217821,"aqueducts,|water",3,Art|Channel (broadcasting)|Antique|Geology|Aqueduct|Karst|Humanities|Telecommunications|Engineering|Geography|Hydrology (agriculture)|Geotechnical engineering|Geomorphology|Archaeology,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4359752832"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,7,2000,1,un,3715d9d8216103e72f065819a00ed06d8f59e447ae82b82f92d3dcfdff812985
Gustave B. Schunke,https://openalex.org/A4331296656,Unknown,,,,,,,"aqueducts,|water",0,Philosophy|Relation (database)|Nothing|Environmental engineering|Distribution (mathematics)|Water supply|Engineering|Programming language|Economy|Computer science|Epistemology|Mathematical analysis|Scope (computer science)|Database|Business|Economics|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4331296656"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1930,1,un,
"H Chanson,",https://openalex.org/A4372183295,University of Queensland,Brisbane,Queensland,Australia,-27.495964,153.00963,https://openalex.org/A4372183296,"aqueducts,|water",1,Channel (broadcasting)|Hydraulic engineering|Telecommunications|Engineering|Thermodynamics|Hydrology (agriculture)|Hydraulic structure|Physics|Geotechnical engineering|Aerospace engineering|Hydraulics|Civil engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4372183295"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,2003,1,AU,5cd34a25258871cb060c9fec00d8facbb24e604e69d01c43271bb1d93c214cc9
H Headland,https://openalex.org/A2764468176,Unknown,,,,,,https://openalex.org/A2279493338|https://openalex.org/A4354251676|https://openalex.org/A2336963089|https://openalex.org/A2641213819|https://openalex.org/A4354354539|https://openalex.org/A4348697317|https://openalex.org/A4352627309|https://openalex.org/A2276372934|https://openalex.org/A4359264443|https://openalex.org/A4266311419|https://openalex.org/A4355887507|https://openalex.org/A2668246551|https://openalex.org/A2556865444|https://openalex.org/A4359615512|https://openalex.org/A4355619349|https://openalex.org/A4359735296,"aqueducts,|water",16,Petroleum engineering|Environmental engineering|Hydroelectricity|Engineering|Pipeline transport|Electrical engineering|Environmental science|Marine engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2764468176"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,2,1962,1,un,61898a8236abfb5636d5fbaf1e710dd5d654293864a57d58d38707f687f970c6
H J F Gourley,https://openalex.org/A4336081337,Unknown,,,,,,https://openalex.org/A4355921290|https://openalex.org/A2764350221|https://openalex.org/A2152363410|https://openalex.org/A2429185308|https://openalex.org/A4341366154,"aqueducts,|water",5,History,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4336081337"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1925,1,un,a04be612e67d0719c56195e32b40156d1d49c1af3befc47c744bf330e11ae9ab
